location,iso_code,continent,vax_rate_2021_07_01,median_age,gdp_per_capita,population,delta_wave_death_rate
Albania,ALB,Europe,14.33,38.0,11803.43,2842318,1.5895652173913044
Argentina,ARG,South America,9.74,31.9,18933.91,45510324,1.4036956521739132
Australia,AUS,Oceania,6.59,37.9,44648.71,26177410,0.3444565217391304
Azerbaijan,AZE,Asia,12.94,32.4,15847.42,10358078,1.9993478260869566
Bahrain,BHR,Asia,67.32,32.4,43290.7,1472237,0.0783695652173913
Belgium,BEL,Europe,35.56,41.8,42658.58,11655923,0.6208695652173912
Bolivia,BOL,South America,5.89,25.4,6885.83,12224114,1.1578260869565218
Brazil,BRA,South America,12.52,33.5,14103.45,215313504,2.9526086956521738
Bulgaria,BGR,Europe,11.98,44.7,18563.31,6781955,7.908913043478261
Cambodia,KHM,Asia,18.51,25.6,3645.07,16767851,0.9202173913043478
Canada,CAN,North America,31.76,41.4,44017.59,38454328,0.6176086956521739
Chile,CHL,South America,55.53,35.4,22767.04,19603736,1.5098913043478261
Colombia,COL,South America,13.69,32.2,13254.95,51874028,1.857391304347826
Czechia,CZE,Europe,32.38,43.3,32605.91,10493990,0.2601086956521739
Ecuador,ECU,South America,8.31,28.1,10581.94,18001002,1.3143478260869565
El Salvador,SLV,North America,18.03,27.6,7292.46,6336393,1.7584782608695653
Estonia,EST,Europe,34.33,42.7,29481.25,1326064,1.6525
France,FRA,Europe,31.96,42.0,38605.67,67813000,0.7651086956521739
Germany,DEU,Europe,38.16,46.6,45229.24,83369840,0.6747826086956522
Greece,GRC,Europe,36.89,45.3,24574.38,10384972,2.9368478260869564
Guatemala,GTM,North America,0.9,22.9,7423.81,17843914,2.788804347826087
India,IND,Asia,4.17,28.2,6426.67,1417173120,0.26217391304347826
Indonesia,IDN,Asia,4.95,29.3,11188.74,275501344,2.3369565217391304
Ireland,IRL,Europe,38.59,38.7,67335.29,5023108,0.9891304347826086
Israel,ISR,Asia,55.08,30.6,33132.32,9449000,1.9254347826086955
Italy,ITA,Europe,32.69,47.9,35220.08,59037472,0.7108695652173914
Japan,JPN,Asia,15.39,48.2,39002.22,123951696,0.26869565217391306
Kazakhstan,KAZ,Asia,10.51,30.6,24055.59,19397998,4.569891304347826
Kenya,KEN,Africa,0.75,20.0,2993.03,54027484,0.28141304347826085
Latvia,LVA,Europe,30.24,43.9,25063.85,1850654,3.95195652173913
Lebanon,LBN,Asia,8.09,31.1,13367.56,5489744,1.07
Lithuania,LTU,Europe,38.78,43.5,29524.26,2750058,4.896304347826087
Malaysia,MYS,Asia,7.16,29.9,26808.16,33938216,6.415760869565218
Mexico,MEX,North America,15.44,29.3,17336.47,127504120,4.176304347826087
Mongolia,MNG,Asia,51.5,28.6,11840.85,3398373,2.9411956521739127
Morocco,MAR,Africa,24.4,29.6,7485.01,37457976,1.4717391304347827
Namibia,NAM,Africa,0.99,22.0,9541.81,2567024,2.6964130434782607
Nepal,NPL,Asia,2.48,25.0,2442.8,30547586,0.6026086956521739
New Zealand,NZL,Oceania,8.99,37.9,36085.84,5185289,0.004565217391304347
North Macedonia,MKD,Europe,10.65,39.1,13111.21,2093606,9.862065217391304
Norway,NOR,Europe,29.16,39.7,64800.06,5434324,0.2559782608695652
Paraguay,PRY,South America,2.88,26.5,8827.01,6780745,2.7032608695652174
Peru,PER,South America,9.85,29.1,12236.71,34049588,1.4082608695652175
Philippines,PHL,Asia,2.34,25.2,7599.19,115559008,1.4081521739130436
Poland,POL,Europe,33.93,41.8,27216.44,39857144,0.3617391304347826
Qatar,QAT,Asia,53.76,31.9,116935.6,2695131,0.03152173913043479
Romania,ROU,Europe,23.14,43.0,23313.2,19659270,5.930978260869565
Russia,RUS,Europe,12.11,39.6,24765.95,144713312,5.8140217391304345
Saudi Arabia,SAU,Asia,4.39,31.9,49045.41,36408824,0.20934782608695654
Singapore,SGP,Asia,37.39,42.4,85535.38,5637022,0.5609782608695653
Slovenia,SVN,Europe,33.28,44.5,31400.84,2119843,1.7107608695652172
South Korea,KOR,Asia,9.92,43.4,35938.37,51815808,0.14869565217391303
Spain,ESP,Europe,38.83,45.5,34272.36,47558632,1.2870652173913044
Sri Lanka,LKA,Asia,4.93,34.1,11669.08,21832150,4.564347826086957
Thailand,THA,Asia,3.99,40.1,16277.67,71697024,2.236086956521739
Trinidad and Tobago,TTO,North America,6.35,36.2,28763.07,1531043,4.460869565217391
Tunisia,TUN,Africa,4.58,32.7,10849.3,12356116,5.884565217391304
Turkey,TUR,Asia,17.97,31.6,25129.34,85341248,2.2592391304347825
Ukraine,UKR,Europe,1.93,41.4,7894.39,39701744,3.1432608695652173
United Kingdom,GBR,Europe,49.24,40.8,39753.24,67508936,1.831195652173913
United States,USA,North America,49.44,38.3,54225.45,338289856,4.122608695652174
Uruguay,URY,South America,50.28,35.6,20551.41,3422796,0.48793478260869566
Vietnam,VNM,Asia,0.21,32.6,6171.88,98186856,2.330108695652174
Zambia,ZMB,Africa,0.07,17.7,3689.25,20017670,0.22076086956521737
Zimbabwe,ZWE,Africa,3.43,19.6,1899.78,16320539,1.096521739130435
