location,date,people_fully_vaccinated_per_hundred
High-income countries,2020-12-13,0.0
High-income countries,2020-12-14,0.0
High-income countries,2020-12-15,0.0
High-income countries,2020-12-16,0.0
High-income countries,2020-12-17,0.0
High-income countries,2020-12-18,0.0
High-income countries,2020-12-19,0.0
High-income countries,2020-12-20,0.0
High-income countries,2020-12-21,0.0
High-income countries,2020-12-22,0.0
High-income countries,2020-12-23,0.0
High-income countries,2020-12-24,0.0
High-income countries,2020-12-25,0.0
High-income countries,2020-12-26,0.0
High-income countries,2020-12-27,0.0
High-income countries,2020-12-28,0.0
High-income countries,2020-12-29,0.0
High-income countries,2020-12-30,0.0
High-income countries,2020-12-31,0.0
High-income countries,2021-01-01,0.0
High-income countries,2021-01-02,0.0
High-income countries,2021-01-03,0.0
High-income countries,2021-01-04,0.01
High-income countries,2021-01-05,0.02
High-income countries,2021-01-06,0.03
High-income countries,2021-01-07,0.05
High-income countries,2021-01-08,0.08
High-income countries,2021-01-09,0.09
High-income countries,2021-01-10,0.15
High-income countries,2021-01-11,0.18
High-income countries,2021-01-12,0.21
High-income countries,2021-01-13,0.24
High-income countries,2021-01-14,0.25
High-income countries,2021-01-15,0.27
High-income countries,2021-01-16,0.28
High-income countries,2021-01-17,0.29
High-income countries,2021-01-18,0.32
High-income countries,2021-01-19,0.37
High-income countries,2021-01-20,0.42
High-income countries,2021-01-21,0.47
High-income countries,2021-01-22,0.5
High-income countries,2021-01-23,0.53
High-income countries,2021-01-24,0.55
High-income countries,2021-01-25,0.62
High-income countries,2021-01-26,0.7
High-income countries,2021-01-27,0.78
High-income countries,2021-01-28,0.86
High-income countries,2021-01-29,0.94
High-income countries,2021-01-30,0.98
High-income countries,2021-01-31,1.02
High-income countries,2021-02-01,1.09
High-income countries,2021-02-02,1.18
High-income countries,2021-02-03,1.29
High-income countries,2021-02-04,1.41
High-income countries,2021-02-05,1.53
High-income countries,2021-02-06,1.59
High-income countries,2021-02-07,1.63
High-income countries,2021-02-08,1.72
High-income countries,2021-02-09,1.83
High-income countries,2021-02-10,1.95
High-income countries,2021-02-11,2.08
High-income countries,2021-02-12,2.23
High-income countries,2021-02-13,2.29
High-income countries,2021-02-14,2.34
High-income countries,2021-02-15,2.41
High-income countries,2021-02-16,2.51
High-income countries,2021-02-17,2.63
High-income countries,2021-02-18,2.75
High-income countries,2021-02-19,2.88
High-income countries,2021-02-20,2.95
High-income countries,2021-02-21,3.0
High-income countries,2021-02-22,3.09
High-income countries,2021-02-23,3.36
High-income countries,2021-02-24,3.5
High-income countries,2021-02-25,3.64
High-income countries,2021-02-26,3.79
High-income countries,2021-02-27,3.87
High-income countries,2021-02-28,3.92
High-income countries,2021-03-01,4.0
High-income countries,2021-03-02,4.11
High-income countries,2021-03-03,4.25
High-income countries,2021-03-04,4.41
High-income countries,2021-03-05,4.57
High-income countries,2021-03-06,4.67
High-income countries,2021-03-07,4.73
High-income countries,2021-03-08,4.84
High-income countries,2021-03-09,4.98
High-income countries,2021-03-10,5.14
High-income countries,2021-03-11,5.32
High-income countries,2021-03-12,5.52
High-income countries,2021-03-13,5.62
High-income countries,2021-03-14,5.68
High-income countries,2021-03-15,5.81
High-income countries,2021-03-16,5.95
High-income countries,2021-03-17,6.11
High-income countries,2021-03-18,6.28
High-income countries,2021-03-19,6.45
High-income countries,2021-03-20,6.55
High-income countries,2021-03-21,6.6
High-income countries,2021-03-22,6.72
High-income countries,2021-03-23,6.87
High-income countries,2021-03-24,7.06
High-income countries,2021-03-25,7.26
High-income countries,2021-03-26,7.51
High-income countries,2021-03-27,7.64
High-income countries,2021-03-28,7.72
High-income countries,2021-03-29,7.89
High-income countries,2021-03-30,8.1
High-income countries,2021-03-31,8.35
High-income countries,2021-04-01,8.64
High-income countries,2021-04-02,8.87
High-income countries,2021-04-03,9.0
High-income countries,2021-04-04,9.06
High-income countries,2021-04-05,9.24
High-income countries,2021-04-06,9.49
High-income countries,2021-04-07,9.78
High-income countries,2021-04-08,10.1
High-income countries,2021-04-09,10.43
High-income countries,2021-04-10,10.64
High-income countries,2021-04-11,10.76
High-income countries,2021-04-12,10.97
High-income countries,2021-04-13,11.2
High-income countries,2021-04-14,11.44
High-income countries,2021-04-15,11.7
High-income countries,2021-04-16,11.98
High-income countries,2021-04-17,12.15
High-income countries,2021-04-18,12.25
High-income countries,2021-04-19,12.46
High-income countries,2021-04-20,12.83
High-income countries,2021-04-21,13.11
High-income countries,2021-04-22,13.4
High-income countries,2021-04-23,13.7
High-income countries,2021-04-24,13.87
High-income countries,2021-04-25,13.98
High-income countries,2021-04-26,14.19
High-income countries,2021-04-27,14.46
High-income countries,2021-04-28,14.76
High-income countries,2021-04-29,15.11
High-income countries,2021-04-30,15.4
High-income countries,2021-05-01,15.57
High-income countries,2021-05-02,15.71
High-income countries,2021-05-03,15.91
High-income countries,2021-05-04,16.17
High-income countries,2021-05-05,16.49
High-income countries,2021-05-06,16.82
High-income countries,2021-05-07,17.18
High-income countries,2021-05-08,17.37
High-income countries,2021-05-09,17.5
High-income countries,2021-05-10,17.72
High-income countries,2021-05-11,18.0
High-income countries,2021-05-12,18.3
High-income countries,2021-05-13,18.59
High-income countries,2021-05-14,18.94
High-income countries,2021-05-15,19.13
High-income countries,2021-05-16,19.28
High-income countries,2021-05-17,19.5
High-income countries,2021-05-18,19.77
High-income countries,2021-05-19,20.06
High-income countries,2021-05-20,20.45
High-income countries,2021-05-21,20.83
High-income countries,2021-05-22,21.03
High-income countries,2021-05-23,21.18
High-income countries,2021-05-24,21.38
High-income countries,2021-05-25,21.63
High-income countries,2021-05-26,21.94
High-income countries,2021-05-27,22.24
High-income countries,2021-05-28,22.61
High-income countries,2021-05-29,22.78
High-income countries,2021-05-30,22.96
High-income countries,2021-05-31,23.14
High-income countries,2021-06-01,23.43
High-income countries,2021-06-02,23.74
High-income countries,2021-06-03,24.02
High-income countries,2021-06-04,24.42
High-income countries,2021-06-05,24.65
High-income countries,2021-06-06,24.89
High-income countries,2021-06-07,25.16
High-income countries,2021-06-08,25.48
High-income countries,2021-06-09,25.85
High-income countries,2021-06-10,26.23
High-income countries,2021-06-11,26.68
High-income countries,2021-06-12,26.9
High-income countries,2021-06-13,27.17
High-income countries,2021-06-14,27.49
High-income countries,2021-06-15,27.84
High-income countries,2021-06-16,28.26
High-income countries,2021-06-17,28.64
High-income countries,2021-06-18,29.09
High-income countries,2021-06-19,29.31
High-income countries,2021-06-20,29.57
High-income countries,2021-06-21,29.84
High-income countries,2021-06-22,30.24
High-income countries,2021-06-23,30.64
High-income countries,2021-06-24,31.0
High-income countries,2021-06-25,31.45
High-income countries,2021-06-26,31.73
High-income countries,2021-06-27,32.13
High-income countries,2021-06-28,32.47
High-income countries,2021-06-29,32.86
High-income countries,2021-06-30,33.25
High-income countries,2021-07-01,33.61
High-income countries,2021-07-02,34.09
High-income countries,2021-07-03,34.39
High-income countries,2021-07-04,34.66
High-income countries,2021-07-05,35.18
High-income countries,2021-07-06,35.54
High-income countries,2021-07-07,35.94
High-income countries,2021-07-08,36.32
High-income countries,2021-07-09,36.81
High-income countries,2021-07-10,37.06
High-income countries,2021-07-11,37.35
High-income countries,2021-07-12,37.7
High-income countries,2021-07-13,38.07
High-income countries,2021-07-14,38.46
High-income countries,2021-07-15,38.87
High-income countries,2021-07-16,39.37
High-income countries,2021-07-17,39.65
High-income countries,2021-07-18,39.93
High-income countries,2021-07-19,40.25
High-income countries,2021-07-20,40.59
High-income countries,2021-07-21,40.96
High-income countries,2021-07-22,41.29
High-income countries,2021-07-23,41.71
High-income countries,2021-07-24,41.95
High-income countries,2021-07-25,42.22
High-income countries,2021-07-26,42.55
High-income countries,2021-07-27,42.9
High-income countries,2021-07-28,43.25
High-income countries,2021-07-29,43.58
High-income countries,2021-07-30,44.01
High-income countries,2021-07-31,44.24
High-income countries,2021-08-01,44.47
High-income countries,2021-08-02,44.72
High-income countries,2021-08-03,45.03
High-income countries,2021-08-04,45.32
High-income countries,2021-08-05,45.64
High-income countries,2021-08-06,46.04
High-income countries,2021-08-07,46.25
High-income countries,2021-08-08,46.45
High-income countries,2021-08-09,46.68
High-income countries,2021-08-10,46.96
High-income countries,2021-08-11,47.25
High-income countries,2021-08-12,47.56
High-income countries,2021-08-13,47.92
