iso_code,continent,location,date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,median_age,gdp_per_capita,population
AFG,Asia,Afghanistan,2020-12-01,5.15,0.27,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-02,5.15,0.27,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-03,5.15,0.27,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-04,5.15,0.27,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-05,5.15,0.27,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-06,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-07,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-08,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-09,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-10,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-11,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-12,5.9,0.4,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-13,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-14,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-15,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-16,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-17,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-18,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-19,4.62,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-20,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-21,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-22,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-23,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-24,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-25,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-26,5.58,0.33,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-27,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-28,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-29,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-30,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2020-12-31,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-01,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-02,4.62,0.37,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-03,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-04,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-05,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-06,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-07,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-08,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-09,3.03,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-10,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-11,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-12,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-13,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-14,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-15,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-16,2.75,0.2,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-17,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-18,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-19,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-20,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-21,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-22,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-23,1.74,0.22,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-24,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-25,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-26,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-27,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-28,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-29,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-30,2.15,0.14,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-01-31,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-01,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-02,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-03,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-04,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-05,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-06,1.51,0.08,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-07,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-08,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-09,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-10,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-11,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-12,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-13,1.1,0.04,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-14,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-15,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-16,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-17,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-18,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-19,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-20,0.55,0.06,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-21,0.39,0.02,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-22,0.39,0.02,0.0,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-23,0.39,0.02,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-24,0.39,0.02,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-25,0.39,0.02,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-26,0.39,0.02,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-27,0.39,0.02,,,18.6,1803.99,41128772
AFG,Asia,Afghanistan,2021-02-28,0.39,0.04,0.02,,18.6,1803.99,41128772
